BCL2L10 ZAR1L C3orf56 BTG4 TUBB8 SH2D1B C9orf116 TMEM132B CA4 FAM19A4 label
E5.37.3231 0 0 0 0 0 0 417 0 0 0 E5
E5.40.3282 0 0 0 0 82 3505 0 0 0 0 E5
E5.37.3247 0 0 0 0 0 0 0 0 474 0 E5
E5.40.3290 0 0 0 0 0 1 0 0 0 0 E5
E5.early.36.3228 0 15 0 0 0 0 0 0 0 0 E5
E5.37.3253 0 0 0 0 0 0 0 0 392 0 E5
E5.37.3237 0 0 0 0 0 0 0 0 0 0 E5
E5.39.3262 0 0 0 0 2 0 0 0 0 0 E5
E5.40.3289 0 0 0 0 0 61 0 0 44 0 E5
E5.40.3281 0 0 0 0 0 276 0 0 0 0 E5
E5.39.3269 0 0 0 0 0 0 1 0 0 0 E5
E5.38.3256 0 0 0 0 5 0 16 2 0 0 E5
E5.37.3245 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3285 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3278 0 0 0 0 0 0 0 0 0 0 E5
E5.39.3263 0 0 0 0 0 0 1 1 0 0 E5
E5.40.3298 0 1 0 0 0 928 0 0 2 0 E5
E5.40.3287 0 0 0 0 0 366 0 0 0 0 E5
E5.40.3286 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3279 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3288 0 0 0 0 0 1 0 0 0 0 E5
E5.40.3292 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3297 0 0 0 0 0 2503 126 0 455 0 E5
E5.40.3291 0 0 0 0 3 1 63 0 0 0 E5
E5.39.3267 0 0 0 0 0 0 23 0 0 0 E5
E5.40.3283 0 0 0 0 0 1 0 0 0 0 E5
E5.40.3293 0 0 0 0 0 100 1 0 127 0 E5
E5.40.3304 0 0 0 0 4 1 0 0 0 0 E5
E5.40.3284 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3302 0 0 0 0 9 0 0 0 0 0 E5
E5.40.3303 74 0 0 0 0 845 0 0 0 0 E5
E5.39.3264 0 0 0 0 0 0 5208 0 0 0 E5
E5.40.3280 0 0 0 0 0 0 0 0 104 0 E5
E5.40.3300 0 0 0 0 0 28 0 0 6 0 E5
E5.40.3294 0 0 0 0 0 1 0 0 2 0 E5
E5.40.3299 0 0 0 0 0 300 0 0 235 0 E5
E5.40.3301 0 0 0 0 0 951 365 4 3570 0 E5
E5.40.3296 0 0 0 0 0 481 0 0 2 0 E5
E5.16.1891 0 0 44 0 21 0 0 0 331 0 E5
E5.16.1907 0 0 0 0 0 0 76 0 0 0 E5
E5.16.1886 88 42 90 0 207 0 0 0 0 269 E5
E5.16.1893 0 0 0 0 3 7 1 0 0 0 E5
E5.16.1899 0 0 0 0 13 0 0 0 0 0 E5
E5.16.1897 0 0 0 0 0 87 18 0 6 0 E5
E5.16.1885 0 0 0 0 44 0 0 0 0 0 E5
E5.16.1889 0 0 0 0 0 0 25 0 0 0 E5
E5.14.1923 0 0 0 0 0 0 0 0 0 0 E5
E5.16.1894 0 0 0 42 0 25 0 0 0 0 E5
E5.16.1909 0 0 0 0 2 0 0 0 0 0 E5
E5.16.1915 0 0 0 0 29 1 0 0 0 0 E5
E5.16.1900 0 0 0 0 0 0 0 0 0 0 E5
E5.16.1888 0 0 50 29 37 23 37 0 0 0 E5
E5.16.1913 0 0 0 0 8 0 24 0 147 41 E5
E5.14.1918 0 0 26 0 47 0 32 0 0 0 E5
E5.16.1887 0 0 0 0 0 0 0 0 0 0 E5
E5.16.1910 0 0 0 0 0 0 12 0 16 0 E5
E5.16.1901 0 0 0 0 1 81 22 0 0 0 E5
E5.14.1917 0 0 0 0 0 0 2 0 0 0 E5
E5.14.1925 0 0 0 0 0 0 15 0 0 0 E5
E5.16.1895 0 0 5 5 15 20 13 48 7 7 E5
E5.16.1896 0 0 0 1 0 0 30 0 70 0 E5
E5.16.1904 0 0 38 0 0 0 19 1 0 0 E5
E5.16.1908 0 0 0 0 0 0 0 0 0 0 E5
E5.16.1903 0 0 0 0 0 0 4 0 0 0 E5
E5.14.1924 0 0 0 0 0 0 21 0 0 0 E5
E5.14.1916 0 0 0 0 0 173 132 0 0 0 E5
E5.16.1912 0 0 1 0 0 0 0 0 0 0 E5
E5.16.1911 0 0 0 0 0 165 0 0 0 0 E5
E5.14.1919 0 0 0 0 0 0 0 0 0 0 E5
E5.16.1898 0 0 0 0 4 50 0 0 18 0 E5
E5.16.1905 0 0 20 0 0 0 15 0 0 1 E5
E5.16.1890 0 0 0 0 0 0 0 0 136 0 E5
E5.16.1906 0 0 0 0 0 0 31 0 0 0 E5
E5.16.1914 0 0 0 0 1 167 8 0 18 0 E5
E5.41.3309 0 0 0 0 0 0 0 0 0 0 E5
E5.41.3308 132 1 0 7 118 0 0 1 0 0 E5
E5.41.3307 0 0 0 56 47 0 0 114 0 0 E5
E5.41.3306 808 128 425 122 954 0 0 160 0 0 E5
E5.41.3310 0 0 0 0 1 0 0 0 0 0 E5
E5.41.3316 0 0 0 0 9 0 0 0 0 0 E5
E5.41.3323 0 0 0 0 0 0 74 68 0 0 E5
E5.42.3333 0 0 0 0 0 0 41 0 0 0 E5
E5.41.3317 0 0 0 0 9 0 0 0 0 0 E5
E5.41.3328 147 0 0 0 330 0 179 0 0 0 E5
E5.41.3313 0 0 0 0 0 0 0 0 0 0 E5
E5.41.3305 0 0 0 0 0 13 0 0 0 0 E5
E5.41.3321 0 0 0 0 4 0 0 0 0 0 E5
E5.42.3329 0 0 104 0 0 0 42 0 0 0 E5
E5.41.3315 0 105 0 0 49 0 0 0 0 0 E5
E5.41.3326 0 0 223 0 0 0 0 0 0 0 E5
E5.41.3324 0 0 0 0 0 0 107 0 0 0 E5
E5.41.3318 0 0 0 0 53 0 0 0 0 0 E5
E5.41.3325 0 0 0 15 24 0 65 0 0 0 E5
E5.41.3327 0 0 0 0 104 0 0 0 0 0 E5
E5.42.3336 0 0 0 0 9 0 0 0 0 0 E5
E5.43.3359 0 4 0 0 1 0 0 0 0 0 E5
E5.42.3331 0 0 0 1 0 0 1 0 0 0 E5
E5.43.3352 0 0 1 1 3 0 1 0 0 0 E5
E5.43.3343 0 0 382 66 258 0 0 2 0 0 E5
E5.42.3337 0 0 0 0 0 0 0 0 0 0 E5
E5.42.3334 0 0 0 0 5 0 98 0 0 0 E5
E5.43.3347 0 0 0 0 2 0 151 0 0 0 E5
E5.43.3360 0 0 12 0 484 0 24 0 0 0 E5
E5.43.3363 0 0 1 0 35 0 154 0 0 0 E5
E5.43.3353 14 0 1 0 52 0 55 0 0 0 E5
E5.41.3322 35 0 220 1 584 0 209 0 0 102 E5
E5.42.3335 0 0 0 0 0 0 7 0 0 0 E5
E5.42.3340 0 0 0 0 0 0 0 0 0 0 E5
E5.43.3365 0 0 87 0 6 0 0 0 0 0 E5
E5.42.3332 0 0 0 0 0 0 0 0 0 0 E5
E5.43.3356 0 0 1 1 4 0 128 0 0 0 E5
E5.43.3357 0 0 0 7 2 0 65 0 0 0 E5
E5.43.3364 0 0 1 28 178 0 0 85 0 0 E5
E5.43.3354 0 0 0 0 132 0 56 0 0 0 E5
E5.43.3350 56 1 1 0 6 0 0 0 0 1 E5
E5.43.3355 0 0 0 0 0 0 0 0 0 0 E5
E5.43.3348 0 0 109 0 56 0 0 0 0 0 E5
E5.43.3349 0 1 0 0 0 0 0 0 0 0 E5
E5.42.3330 2 0 0 0 20 0 41 0 0 0 E5
E5.43.3361 0 0 137 18 1 0 0 0 0 0 E5
E5.43.3358 0 0 3 0 2 0 0 0 0 0 E5
E5.43.3362 0 0 103 0 259 0 1 20 0 0 E5
E5.12.1027 0 0 0 0 0 0 0 0 0 0 E5
E5.12.1028 0 0 0 0 0 0 0 0 0 0 E5
E5.12.1029 0 0 37 0 0 0 0 0 0 0 E5
E5.12.1031 0 0 0 8 0 0 19 0 0 0 E5
E5.12.1033 0 0 0 0 0 0 0 0 0 0 E5
E5.12.1034 0 0 0 0 0 0 0 0 0 0 E5
E5.12.1035 0 0 0 0 0 0 0 0 0 0 E5
E5.12.1036 0 0 1 0 31 0 41 1 184 0 E5
E5.12.1037 0 0 0 0 0 0 0 0 341 0 E5
E5.12.1038 0 0 1 0 0 45 0 0 117 0 E5
E5.12.1039 0 0 70 0 0 0 0 0 0 0 E5
E5.12.1041 0 0 0 0 0 73 12 0 64 0 E5
E5.12.1042 0 0 0 0 0 0 0 0 0 0 E5
E5.early.31.3058 0 0 0 0 8 0 67 0 0 0 E5
E5.early.31.3059 7 0 0 0 0 0 0 0 0 0 E5
E5.early.31.3060 0 6 0 0 1 0 5 0 0 0 E5
E5.early.31.3062 0 0 0 3 0 0 34 0 0 0 E5
E5.early.31.3064 2 0 0 0 0 0 8 0 0 0 E5
E5.early.31.3068 0 0 0 0 0 0 119 0 0 0 E5
E5.early.31.3069 13 0 0 0 2 0 170 0 0 0 E5
E5.early.31.3070 0 0 0 0 0 0 61 0 0 0 E5
E5.early.31.3071 0 0 0 0 0 0 83 0 0 0 E5
E5.early.31.3072 0 0 0 0 0 0 2 0 0 0 E5
E5.7.686 0 0 0 0 0 0 90 0 0 0 E5
E5.7.684 0 0 0 0 6 0 29 0 0 0 E5
E5.7.677 0 0 0 0 8 0 44 0 0 0 E5
E5.7.692 0 0 0 0 4 0 106 0 0 0 E5
E5.7.687 0 0 0 0 0 0 18 0 0 0 E5
E5.7.691 0 15 0 0 14 0 117 0 0 21 E5
E5.7.702 0 0 0 0 0 0 93 0 0 0 E5
E5.7.683 0 11 0 0 9 0 56 0 0 0 E5
